id,Rep,FID_1,Yield,Duration,Blue,Green,Red,Redage,NIR,ndvi_inp,arvi_inp,MCARI,MCARI1,MCARI2,LAI,EVI
76,2,108,3.240225,3,0.040021665,0.089850944,0.054753883,0.158901811,0.342901528,0.724616433,0.663005893,-0.098537693,0.469684024,1.967699612,4.322373466,0.525332823
76,3,123,3.391026,3,0.044041978,0.097313043,0.059775194,0.164127193,0.340683252,0.701466183,0.637145974,-0.080385139,0.463066647,1.609142879,4.160831026,0.512973046
91,2,47,1.446021,3,0.031654874,0.082252353,0.036704712,0.160627306,0.407944411,0.834904828,0.814299996,-0.143659006,0.605639488,-4.354513257,5.091965892,0.667331888
91,3,57,1.857158,3,0.034225987,0.080102958,0.042377075,0.150968716,0.403318346,0.809838409,0.777333693,-0.118061107,0.578607806,-8.61138979,4.917052417,0.64413039
91,1,75,2.194793,3,0.037191182,0.087300744,0.048327906,0.165735707,0.407581121,0.787993204,0.745358438,-0.1353314,0.578122256,-23.20356885,4.764616576,0.633105694
3,2,6,4.782278,2,0.034816822,0.078068968,0.040993158,0.15044748,0.400289223,0.814208953,0.789167171,-0.129563149,0.575224597,-8.095503272,4.947550073,0.648491728
3,1,20,4.864177,2,0.037527412,0.081733271,0.045472195,0.152128421,0.378681958,0.785586466,0.752755797,-0.114196436,0.536389337,13.02353496,4.747822363,0.608020588
3,3,35,4.76164,2,0.029006194,0.078024101,0.032749411,0.162479289,0.476413414,0.871359773,0.857702487,-0.194385774,0.709504681,-1.770879621,5.346348495,0.762118927
4,1,52,2.907925,2,0.037008066,0.088613495,0.045223214,0.169843152,0.403639734,0.798498789,0.766174042,-0.142111944,0.583808628,-14.23328645,4.83792455,0.641211838
4,3,67,2.919606,2,0.036890162,0.082090091,0.04515609,0.153996073,0.408383533,0.800872571,0.76863848,-0.119265146,0.580664561,-10.21778381,4.854488799,0.647397845
4,2,70,2.72533,2,0.043555927,0.107817441,0.051822636,0.195619971,0.443671912,0.790824596,0.761437208,-0.120067726,0.651614853,-5.96898976,4.784374027,0.686040288
11,3,114,3.798915,2,0.043484043,0.087656014,0.057943001,0.149438746,0.333878398,0.704237688,0.643586218,-0.082709882,0.44369927,1.506909403,4.18017059,0.508953369
11,2,118,4.20375,2,0.03382544,0.087364729,0.045876397,0.163760535,0.381835386,0.785479855,0.73655179,-0.12460583,0.548502744,15.72641147,4.747078429,0.598472067
11,1,139,3.697357,2,0.049450954,0.09635555,0.06929839,0.159019947,0.311405405,0.635945892,0.554884274,-0.081708406,0.390843271,0.856199533,3.703630437,0.446259289
25,3,97,3.02996,2,0.035621632,0.083585367,0.048926737,0.154449813,0.364810571,0.76348888,0.70854491,-0.114292961,0.508940183,4.335769837,4.593625402,0.567642765
25,1,102,3.804441,2,0.03153584,0.080361642,0.042644573,0.152482063,0.364772394,0.790658825,0.743130198,-0.123014341,0.522702689,8.896939786,4.78321728,0.581827406
25,2,110,3.354187,2,0.032163978,0.08221034,0.043817408,0.155984625,0.371531755,0.789009285,0.740185002,-0.125953303,0.531801631,10.98702167,4.771706793,0.588057794
30,3,89,4.016884,2,0.03086436,0.07564453,0.041514281,0.145159796,0.385328412,0.805482058,0.761531048,-0.123728067,0.548335537,-30.38076703,4.886653799,0.612670959
30,1,113,3.874144,2,0.036755804,0.087951861,0.049736694,0.160200328,0.349830836,0.751047371,0.695950438,-0.109620186,0.491751227,2.848909738,4.506808554,0.546586726
30,2,127,4.563067,2,0.038442843,0.084040321,0.053120568,0.150733754,0.332424581,0.724439182,0.661197306,-0.101510605,0.450432593,1.744798764,4.321136611,0.512361584
31,2,99,3.693584,2,0.032836465,0.078865621,0.043831944,0.150583886,0.377562255,0.791967025,0.746398092,-0.126029265,0.535224182,18.30202692,4.7923459,0.598391655
31,1,103,3.290748,2,0.03083449,0.075303763,0.040611453,0.146714717,0.376954615,0.805484897,0.764178131,-0.132651384,0.538454156,-3294.80661,4.886673613,0.605210375
31,3,125,3.930174,2,0.046044473,0.092101522,0.065327562,0.156877965,0.306290597,0.648415661,0.567099607,-0.091259371,0.388754146,0.879056206,3.790644483,0.445263952
32,3,79,3.923837,2,0.030261079,0.088428289,0.039764911,0.175689586,0.446339861,0.836393661,0.801178823,-0.170533574,0.661382797,-2.867574242,5.102354969,0.69715873
32,1,85,4.078533,2,0.031308647,0.076916851,0.040701557,0.150702119,0.38632521,0.809372339,0.770429844,-0.139107077,0.55419392,-18.94317518,4.91380018,0.619077838
32,2,117,3.172674,2,0.038707882,0.082550094,0.053364027,0.147668257,0.330010831,0.721609145,0.658216713,-0.099430843,0.443901661,1.656401711,4.301388616,0.508584596
40,2,83,3.078553,2,0.031150281,0.075279124,0.040999327,0.144898579,0.380303472,0.805368837,0.764127776,-0.124896346,0.542074453,-77.00478044,4.885863746,0.609088261
40,1,95,4.172877,2,0.028500548,0.084195796,0.035822371,0.171310678,0.458287686,0.855002461,0.82791603,-0.185270404,0.683812597,-2.20977731,5.232207176,0.7236633
40,3,133,4.282264,2,0.048022961,0.098805636,0.067011707,0.164147653,0.320687115,0.654310497,0.577068695,-0.082177279,0.414891119,1.013744387,3.831778647,0.46543038
44,2,92,4.023116,2,0.031976042,0.074212145,0.043115692,0.14247565,0.354149848,0.782937669,0.734306305,-0.122818389,0.496399651,5.102098843,4.729339051,0.566330646
44,1,122,4.279878,2,0.030119809,0.076482069,0.040458016,0.150776252,0.395288885,0.814304974,0.772257706,-0.142622586,0.567153973,-9.396608391,4.948220106,0.628180045
44,3,124,4.637052,2,0.038903758,0.086726442,0.055403683,0.154295921,0.336275101,0.717096327,0.647685648,-0.100944934,0.453318345,1.707805082,4.269898169,0.509963575
49,2,91,5.03418,2,0.02966505,0.072490659,0.038783211,0.14164307,0.389998481,0.819100433,0.781222249,-0.129451206,0.558333606,-9.265871853,4.98168282,0.62707612
49,1,93,4.880459,2,0.026548405,0.070758108,0.033301296,0.146147393,0.427336633,0.855412272,0.828605165,-0.166471959,0.625843513,-2.634780885,5.235066836,0.689822622
49,3,105,4.735664,2,0.041176278,0.08625792,0.054400887,0.155362308,0.368269622,0.742584893,0.689716661,-0.106373912,0.501667949,3.247102256,4.44775738,0.566201406
51,1,53,4.862713,2,0.043654811,0.108331949,0.052050576,0.19405593,0.398111671,0.768747486,0.736363387,-0.109768483,0.586126919,15.17423266,4.630319958,0.625560527
51,3,54,4.674583,2,0.034800407,0.080335803,0.041955888,0.149912432,0.385008663,0.803468985,0.773742899,-0.111468863,0.553868663,-43.60394764,4.872606579,0.623396389
51,2,59,3.420002,2,0.036355939,0.089164414,0.043506835,0.168789819,0.423748225,0.813776935,0.786437207,-0.131782129,0.618773425,-5.085977358,4.944535453,0.67317486
52,2,82,3.458618,2,0.032794662,0.074355278,0.042245178,0.140785068,0.373875022,0.796956852,0.757052394,-0.114372814,0.527638733,20.4946471,4.827164916,0.600175865
52,1,112,4.487442,2,0.036911165,0.082521729,0.050500927,0.147211336,0.325268313,0.731213085,0.670788711,-0.095230298,0.445617486,1.726946178,4.368404907,0.508286268
52,3,115,4.729664,2,0.033597052,0.084681671,0.047336841,0.15997804,0.372720435,0.774617207,0.718409206,-0.128259778,0.526810311,6.790905347,4.671278873,0.579071803
54,2,100,3.090716,2,0.033422194,0.078307755,0.045311172,0.145021632,0.352635324,0.772275057,0.720862871,-0.107914599,0.49402145,4.01565754,4.654935346,0.559244655
54,3,107,2.111783,2,0.033232205,0.081126049,0.045834195,0.154031008,0.369265497,0.779165363,0.726743253,-0.126403104,0.520796367,6.971157907,4.703015903,0.579613885
54,1,129,2.650721,2,0.036238808,0.082941532,0.049840339,0.149393566,0.346143588,0.748270901,0.690214251,-0.099967237,0.478314542,2.580761766,4.487434349,0.539362939
70,1,84,2.995505,2,0.030190712,0.078430753,0.038037803,0.16100502,0.432899684,0.838459226,0.808327602,-0.178543533,0.63161411,-3.078826397,5.11676848,0.688058369
70,3,88,3.425507,2,0.033812437,0.083466269,0.04495661,0.158645779,0.391680717,0.794078029,0.74942787,-0.129402929,0.559357784,-106.355014,4.807076483,0.615707903
70,2,109,3.497571,2,0.037556235,0.086893611,0.050301161,0.159808934,0.360108703,0.75487353,0.702018797,-0.115399318,0.503207083,3.475932179,4.533507491,0.561146369
72,3,78,4.249525,2,0.034227602,0.073999062,0.045040842,0.135932639,0.364877939,0.780245043,0.734490938,-0.099519172,0.505740243,6.22038349,4.710549908,0.580080873
72,2,81,4.724186,2,0.033238731,0.075858518,0.042581327,0.148077235,0.396134675,0.805882042,0.768227087,-0.135419765,0.561029238,-13.28784994,4.889444887,0.630295302
72,1,130,5.2875,2,0.036966106,0.087373648,0.050245216,0.158794224,0.360642761,0.755431072,0.700474986,-0.108376378,0.504892818,3.541592616,4.537398018,0.560337675
77,2,101,3.648191,2,0.033509623,0.082535803,0.043669797,0.155500799,0.373113722,0.790443741,0.747835733,-0.121420766,0.53503022,12.76042155,4.781716427,0.595175358
77,3,106,3.207058,2,0.038365683,0.084172387,0.053645754,0.150482565,0.328963399,0.719579347,0.653542637,-0.100376999,0.444078955,1.622032929,4.287224685,0.504949367
77,1,131,2.957337,2,0.033785971,0.083642084,0.045703426,0.155568056,0.371230632,0.780764247,0.731278173,-0.115688051,0.527943483,7.856727155,4.714172918,0.584615689
78,3,134,3.493202,2,0.050172918,0.104517236,0.070654575,0.171998389,0.319246337,0.637576765,0.555847451,-0.081839376,0.410797889,0.930145944,3.715010669,0.454671085
78,2,137,3.508488,2,0.041854005,0.091498122,0.057083208,0.156993724,0.329143852,0.704405962,0.639749494,-0.085480009,0.445454592,1.47295029,4.181344804,0.500944644
78,1,138,4.269866,2,0.043181362,0.089060921,0.060312632,0.151527807,0.318268776,0.681375624,0.608585181,-0.084713681,0.416304177,1.144053828,4.020639106,0.47548315
79,3,98,4.364645,2,0.032667942,0.076590583,0.043996796,0.144593209,0.36686334,0.785830787,0.737910504,-0.116369332,0.515774131,7.928419371,4.749527231,0.582440639
79,2,136,4.772209,2,0.048856251,0.095967673,0.067144394,0.156546861,0.299084812,0.633320376,0.555637544,-0.074038764,0.378958518,0.790455317,3.685309581,0.434173214
79,1,140,5.23354,2,0.051807072,0.09478787,0.06967622,0.155404925,0.31597583,0.638657591,0.566092839,-0.079190792,0.39384561,0.885588638,3.722552672,0.457642605
80,3,80,4.014574,2,0.028988667,0.073846098,0.039125975,0.14530126,0.395894974,0.820119122,0.778670696,-0.136422094,0.567910751,-7.506839848,4.988791232,0.631120782
80,2,90,4.825147,2,0.032769892,0.080292769,0.040872958,0.160837948,0.435873181,0.828533661,0.797974206,-0.161831202,0.630295227,-3.386649874,5.047507884,0.687992256
